Invoice Number,Vendor Name,GSTIN,Date,Taxable Amount,CGST,SGST,IGST,Total Amount
INV-2024-0001,Enterprise 19 Ltd,01AAACC0019A1Z1,2023-12-19,218588,19672.92,19672.92,0,257933.84
INV-2024-0002,Enterprise 14 Ltd,03AAACC0014A1Z5,2024-01-27,531044,0,0,95587.92,626631.92
INV-2024-0003,Enterprise 8 Ltd,03AAACC0008A1Z8,2024-02-15,163258,0,0,29386.44,192644.44
INV-2024-0004,Enterprise 3 Ltd,08AAACC0003A1Z5,2024-03-22,905168,81465.12,81465.12,0,1068098.24
INV-2024-0005,Dynamic Dealers,24DDDD2222A1Z3,2023-12-11,751629,67646.61,67646.61,0,886922.22
INV-2024-0006,Enterprise 32 Ltd,05AAACC0032A1Z3,2024-02-19,86068,0,0,15492.24,101560.24
INV-2024-0007,Enterprise 36 Ltd,06AAACC0036A1Z4,2023-11-27,463224,0,0,83380.32,546604.32
INV-2024-0008,Enterprise 32 Ltd,05AAACC0032A1Z3,2024-02-22,145261,13073.49,13073.49,0,171407.98
INV-2024-0009,Enterprise 24 Ltd,08AAACC0024A1Z4,2024-01-09,750403,0,0,135072.54,885475.54
INV-2024-0010,Enterprise 16 Ltd,08AAACC0016A1Z7,2023-11-07,908315,81748.35,81748.35,0,1071811.7
INV-2024-0011,Enterprise 11 Ltd,09AAACC0011A1Z6,2024-03-12,202201,18198.09,18198.09,0,238597.18
INV-2024-0012,Enterprise 7 Ltd,01AAACC0007A1Z1,2024-03-09,367452,33070.68,33070.68,0,433593.36
INV-2024-0013,Enterprise 15 Ltd,02AAACC0015A1Z7,2024-02-09,729551,65659.59,65659.59,0,860870.18
INV-2024-0014,Enterprise 22 Ltd,09AAACC0022A1Z0,2024-01-11,17680,0,0,3182.4,20862.4
INV-2024-0015,Enterprise 39 Ltd,03AAACC0039A1Z5,2024-02-27,437308,39357.72,39357.72,0,516023.44
INV-2024-0016,Enterprise 7 Ltd,01AAACC0007A1Z1,2023-12-09,418322,0,0,75297.96,493619.96
INV-2024-0017,Enterprise 14 Ltd,03AAACC0014A1Z5,2024-02-16,187376,16863.84,16863.84,0,221103.68
INV-2024-0018,Enterprise 8 Ltd,03AAACC0008A1Z8,2023-12-17,277288,0,0,49911.84,327199.84
INV-2024-0019,Enterprise 30 Ltd,04AAACC0030A1Z2,2024-03-27,513806,46242.54,46242.54,0,606291.08
INV-2024-0020,Enterprise 10 Ltd,01AAACC0010A1Z0,2024-03-11,91268,0,0,16428.24,107696.24
INV-2024-0021,Enterprise 25 Ltd,08AAACC0025A1Z3,2024-03-18,737427,0,0,132736.86,870163.86
INV-2024-0022,Enterprise 8 Ltd,03AAACC0008A1Z8,2024-01-21,117941,0,0,21229.38,139170.38
INV-2024-0023,Enterprise 1 Ltd,03AAACC0001A1Z3,2024-02-11,48421,4357.89,4357.89,0,57136.78
INV-2024-0024,Enterprise 27 Ltd,08AAACC0027A1Z8,2024-03-15,84821,0,0,15267.78,100088.78
INV-2024-0025,Enterprise 32 Ltd,05AAACC0032A1Z3,2024-01-22,205557,18500.13,18500.13,0,242557.26
INV-2024-0026,Enterprise 13 Ltd,01AAACC0013A1Z8,2024-02-21,600167,0,0,108030.06,708197.06
INV-2024-0027,Enterprise 28 Ltd,03AAACC0028A1Z7,2024-01-19,585204,52668.36,52668.36,0,690540.72
INV-2024-0028,Enterprise 21 Ltd,05AAACC0021A1Z8,2024-01-19,634220,57079.8,57079.8,0,748379.6
INV-2024-0029,Enterprise 11 Ltd,09AAACC0011A1Z6,2023-11-04,759344,0,0,136681.92,896025.92
INV-2024-0030,TechNova Solutions,27AADCT1234E1Z1,2023-11-10,898407,0,0,161713.26,1060120.26
INV-2024-0031,Enterprise 24 Ltd,08AAACC0024A1Z4,2023-11-05,184679,0,0,33242.22,217921.22
INV-2024-0032,Enterprise 8 Ltd,03AAACC0008A1Z8,2023-12-22,234312,0,0,42176.16,276488.16
INV-2024-0033,Nexus Traders,09GGGG5555A1Z7,2024-03-15,609388,54844.92,54844.92,0,719077.84
INV-2024-0034,Enterprise 4 Ltd,07AAACC0004A1Z3,2024-02-06,576997,51929.73,51929.73,0,680856.46
INV-2024-0035,Enterprise 10 Ltd,01AAACC0010A1Z0,2024-02-26,571613,0,0,102890.34,674503.34
INV-2024-0036,Enterprise 43 Ltd,05AAACC0043A1Z3,2024-03-20,740476,66642.84,66642.84,0,873761.68
INV-2024-0037,Enterprise 2 Ltd,08AAACC0002A1Z5,2023-11-03,634629,0,0,114233.22,748862.22
INV-2024-0038,Enterprise 38 Ltd,04AAACC0038A1Z2,2024-01-06,533994,48059.46,48059.46,0,630112.92
INV-2024-0039,Rapid Delivery,14FFFF4444A1Z6,2024-03-28,520649,46858.41,46858.41,0,614365.82
INV-2024-0040,Enterprise 9 Ltd,02AAACC0009A1Z6,2024-02-20,731599,65843.91,65843.91,0,863286.82
INV-2024-0041,Enterprise 19 Ltd,01AAACC0019A1Z1,2023-11-22,308472,27762.48,27762.48,0,363996.96
INV-2024-0042,Enterprise 20 Ltd,05AAACC0020A1Z0,2024-03-26,453532,40817.88,40817.88,0,535167.76
INV-2024-0043,Enterprise 24 Ltd,08AAACC0024A1Z4,2024-03-17,77334,0,0,13920.12,91254.12
INV-2024-0044,Rapid Delivery,14FFFF4444A1Z6,2024-03-05,647657,0,0,116578.26,764235.26
INV-2024-0045,Enterprise 6 Ltd,02AAACC0006A1Z2,2024-01-26,332221,0,0,59799.78,392020.78
INV-2024-0046,Enterprise 17 Ltd,04AAACC0017A1Z7,2023-12-09,374589,0,0,67426.02,442015.02
INV-2024-0047,Enterprise 18 Ltd,09AAACC0018A1Z2,2024-03-04,715569,0,0,128802.42,844371.42
INV-2024-0048,Enterprise 10 Ltd,01AAACC0010A1Z0,2023-12-07,581905,0,0,104742.9,686647.9
INV-2024-0049,Enterprise 43 Ltd,05AAACC0043A1Z3,2024-01-14,495369,0,0,89166.42,584535.42
INV-2024-0050,Enterprise 19 Ltd,01AAACC0019A1Z1,2024-02-19,623275,0,0,112189.5,735464.5
INV-2024-0051,Enterprise 18 Ltd,09AAACC0018A1Z2,2024-03-21,831393,0,0,149650.74,981043.74
INV-2024-0052,Nexus Traders,09GGGG5555A1Z7,2023-11-07,795242,0,0,143143.56,938385.56
INV-2024-0053,Enterprise 34 Ltd,01AAACC0034A1Z6,2024-03-04,541888,48769.92,48769.92,0,639427.84
INV-2024-0054,Enterprise 21 Ltd,05AAACC0021A1Z8,2024-03-15,580135,0,0,104424.3,684559.3
INV-2024-0055,Enterprise 4 Ltd,07AAACC0004A1Z3,2023-12-12,787239,0,0,141703.02,928942.02
INV-2024-0056,Enterprise 41 Ltd,01AAACC0041A1Z2,2024-03-02,599346,53941.14,53941.14,0,707228.28
INV-2024-0057,Enterprise 34 Ltd,01AAACC0034A1Z6,2024-01-18,792591,71333.19,71333.19,0,935257.38
INV-2024-0058,Enterprise 4 Ltd,07AAACC0004A1Z3,2024-01-28,129031,0,0,23225.58,152256.58
INV-2024-0059,Enterprise 12 Ltd,01AAACC0012A1Z4,2024-03-28,660655,59458.95,59458.95,0,779572.9
INV-2024-0060,Global Corp,22BBBB0000A1Z5,2023-11-05,478608,43074.72,43074.72,0,564757.44
INV-2024-0061,Enterprise 8 Ltd,03AAACC0008A1Z8,2024-03-14,476401,0,0,85752.18,562153.18
INV-2024-0062,Enterprise 23 Ltd,01AAACC0023A1Z7,2024-02-08,846435,76179.15,76179.15,0,998793.3
INV-2024-0063,Enterprise 1 Ltd,03AAACC0001A1Z3,2024-01-12,181666,0,0,32699.88,214365.88
INV-2024-0064,Enterprise 29 Ltd,01AAACC0029A1Z1,2023-11-03,15487,1393.83,1393.83,0,18274.66
INV-2024-0065,Enterprise 9 Ltd,02AAACC0009A1Z6,2023-11-28,230528,0,0,41495.04,272023.04
INV-2024-0066,Rapid Delivery,14FFFF4444A1Z6,2024-03-01,438932,0,0,79007.76,517939.76
INV-2024-0067,Global Corp,22BBBB0000A1Z5,2023-11-01,733111,65979.99,65979.99,0,865070.98
INV-2024-0068,Rapid Delivery,14FFFF4444A1Z6,2023-11-13,548599,0,0,98747.82,647346.82
INV-2024-0069,Global Corp,22BBBB0000A1Z5,2024-02-20,755533,0,0,135995.94,891528.94
INV-2024-0070,Enterprise 28 Ltd,03AAACC0028A1Z7,2024-02-02,742659,66839.31,66839.31,0,876337.62
INV-2024-0071,Enterprise 18 Ltd,09AAACC0018A1Z2,2023-11-02,681074,61296.66,61296.66,0,803667.32
INV-2024-0072,Enterprise 3 Ltd,08AAACC0003A1Z5,2024-03-21,236811,21312.99,21312.99,0,279436.98
INV-2024-0073,Enterprise 33 Ltd,02AAACC0033A1Z5,2024-02-11,840245,75622.05,75622.05,0,991489.1
INV-2024-0074,Global Corp,22BBBB0000A1Z5,2024-01-22,85142,7662.78,7662.78,0,100467.56
INV-2024-0075,Enterprise 36 Ltd,06AAACC0036A1Z4,2024-02-12,180662,0,0,32519.16,213181.16
INV-2024-0076,Enterprise 36 Ltd,06AAACC0036A1Z4,2024-03-11,829517,74656.53,74656.53,0,978830.06
INV-2024-0077,Enterprise 42 Ltd,02AAACC0042A1Z5,2023-11-25,779860,0,0,140374.8,920234.8
INV-2024-0078,Enterprise 17 Ltd,04AAACC0017A1Z7,2024-01-25,611092,0,0,109996.56,721088.56
INV-2024-0079,Enterprise 28 Ltd,03AAACC0028A1Z7,2024-03-04,385358,0,0,69364.44,454722.44
INV-2024-0080,Enterprise 22 Ltd,09AAACC0022A1Z0,2024-02-14,705609,0,0,127009.62,832618.62
INV-2024-0081,Enterprise 1 Ltd,03AAACC0001A1Z3,2023-12-09,539867,48588.03,48588.03,0,637043.06
INV-2024-0082,Enterprise 11 Ltd,09AAACC0011A1Z6,2024-03-09,518581,46672.29,46672.29,0,611925.58
INV-2024-0083,Prime Steels,33EEEE3333A1Z4,2024-03-12,540697,48662.73,48662.73,0,638022.46
INV-2024-0084,Enterprise 41 Ltd,01AAACC0041A1Z2,2023-12-06,703675,63330.75,63330.75,0,830336.5
INV-2024-0085,Enterprise 38 Ltd,04AAACC0038A1Z2,2024-01-26,317913,0,0,57224.34,375137.34
INV-2024-0086,Enterprise 14 Ltd,03AAACC0014A1Z5,2024-01-25,500426,45038.34,45038.34,0,590502.68
INV-2024-0087,Enterprise 14 Ltd,03AAACC0014A1Z5,2024-02-23,445666,0,0,80219.88,525885.88
INV-2024-0088,Enterprise 28 Ltd,03AAACC0028A1Z7,2024-01-11,813264,73193.76,73193.76,0,959651.52
INV-2024-0089,Enterprise 34 Ltd,01AAACC0034A1Z6,2023-12-05,66843,0,0,12031.74,78874.74
INV-2024-0090,Enterprise 33 Ltd,02AAACC0033A1Z5,2024-01-07,527139,47442.51,47442.51,0,622024.02
INV-2024-0091,Apex Logistics,21CCCC1111A1Z2,2024-02-04,570737,0,0,102732.66,673469.66
INV-2024-0092,Enterprise 16 Ltd,08AAACC0016A1Z7,2024-02-01,762737,0,0,137292.66,900029.66
INV-2024-0093,Enterprise 36 Ltd,06AAACC0036A1Z4,2024-01-09,365705,0,0,65826.9,431531.9
INV-2024-0094,Rapid Delivery,14FFFF4444A1Z6,2024-01-02,405796,0,0,73043.28,478839.28
INV-2024-0095,Enterprise 9 Ltd,02AAACC0009A1Z6,2024-01-27,267211,0,0,48097.98,315308.98
INV-2024-0096,Enterprise 43 Ltd,05AAACC0043A1Z3,2024-02-17,433809,0,0,78085.62,511894.62
INV-2024-0097,Enterprise 25 Ltd,08AAACC0025A1Z3,2024-03-23,109855,0,0,19773.9,129628.9
INV-2024-0098,Enterprise 14 Ltd,03AAACC0014A1Z5,2024-02-17,311970,28077.3,28077.3,0,368124.6
INV-2024-0099,Enterprise 28 Ltd,03AAACC0028A1Z7,2023-12-16,717410,64566.9,64566.9,0,846543.8
INV-2024-0100,Enterprise 5 Ltd,06AAACC0005A1Z7,2024-01-20,533581,48022.29,48022.29,0,629625.58
INV-2024-0101,Enterprise 29 Ltd,01AAACC0029A1Z1,2023-12-12,13713,0,0,2468.34,16181.34
INV-2024-0102,Enterprise 33 Ltd,02AAACC0033A1Z5,2023-12-05,333920,30052.8,30052.8,0,394025.6
INV-2024-0103,Enterprise 33 Ltd,02AAACC0033A1Z5,2024-02-19,129805,11682.45,11682.45,0,153169.9
INV-2024-0104,Enterprise 11 Ltd,09AAACC0011A1Z6,2023-11-02,714544,64308.96,64308.96,0,843161.92
INV-2024-0105,Enterprise 9 Ltd,02AAACC0009A1Z6,2024-02-03,75940,6834.6,6834.6,0,89609.2
INV-2024-0106,Enterprise 6 Ltd,02AAACC0006A1Z2,2024-03-18,259712,23374.08,23374.08,0,306460.16
INV-2024-0107,Rapid Delivery,14FFFF4444A1Z6,2023-11-07,273038,24573.42,24573.42,0,322184.84
INV-2024-0108,Prime Steels,33EEEE3333A1Z4,2023-12-18,674520,0,0,121413.6,795933.6
INV-2024-0109,Enterprise 41 Ltd,01AAACC0041A1Z2,2024-02-10,527592,47483.28,47483.28,0,622558.56
INV-2024-0110,Enterprise 26 Ltd,02AAACC0026A1Z3,2024-02-21,358035,0,0,64446.3,422481.3
INV-2024-0111,Enterprise 23 Ltd,01AAACC0023A1Z7,2024-01-26,220206,0,0,39637.08,259843.08
INV-2024-0112,Enterprise 31 Ltd,09AAACC0031A1Z6,2023-12-05,806274,72564.66,72564.66,0,951403.32
INV-2024-0113,Enterprise 26 Ltd,02AAACC0026A1Z3,2024-02-04,870592,78353.28,78353.28,0,1027298.56
INV-2024-0114,Enterprise 33 Ltd,02AAACC0033A1Z5,2023-11-06,130170,0,0,23430.6,153600.6
INV-2024-0115,Enterprise 29 Ltd,01AAACC0029A1Z1,2023-12-09,255559,0,0,46000.62,301559.62
INV-2024-0116,Enterprise 36 Ltd,06AAACC0036A1Z4,2023-12-21,765800,68922,68922,0,903644
INV-2024-0117,Enterprise 31 Ltd,09AAACC0031A1Z6,2023-12-23,394378,35494.02,35494.02,0,465366.04
INV-2024-0118,Enterprise 23 Ltd,01AAACC0023A1Z7,2024-03-07,218212,19639.08,19639.08,0,257490.16
INV-2024-0119,Enterprise 17 Ltd,04AAACC0017A1Z7,2023-12-21,189481,0,0,34106.58,223587.58
INV-2024-0120,Enterprise 4 Ltd,07AAACC0004A1Z3,2024-03-19,617144,55542.96,55542.96,0,728229.92
INV-2024-0121,Enterprise 19 Ltd,01AAACC0019A1Z1,2024-03-15,235995,21239.55,21239.55,0,278474.1
INV-2024-0122,Enterprise 11 Ltd,09AAACC0011A1Z6,2023-12-12,171895,0,0,30941.1,202836.1
INV-2024-0123,Enterprise 5 Ltd,06AAACC0005A1Z7,2024-03-23,741807,66762.63,66762.63,0,875332.26
INV-2024-0124,Enterprise 39 Ltd,03AAACC0039A1Z5,2024-01-12,15903,0,0,2862.54,18765.54
INV-2024-0125,Enterprise 2 Ltd,08AAACC0002A1Z5,2023-12-07,770317,0,0,138657.06,908974.06
INV-2024-0126,Enterprise 24 Ltd,08AAACC0024A1Z4,2024-03-25,661156,0,0,119008.08,780164.08
INV-2024-0127,Enterprise 31 Ltd,09AAACC0031A1Z6,2024-03-18,706485,0,0,127167.3,833652.3
INV-2024-0128,Enterprise 19 Ltd,01AAACC0019A1Z1,2024-01-26,484937,0,0,87288.66,572225.66
INV-2024-0129,Enterprise 5 Ltd,06AAACC0005A1Z7,2024-03-20,296016,0,0,53282.88,349298.88
INV-2024-0130,Dynamic Dealers,24DDDD2222A1Z3,2023-12-25,664569,59811.21,59811.21,0,784191.42
INV-2024-0131,Enterprise 20 Ltd,05AAACC0020A1Z0,2024-03-04,205165,0,0,36929.7,242094.7
INV-2024-0132,Apex Logistics,21CCCC1111A1Z2,2024-01-22,264910,23841.9,23841.9,0,312593.8
INV-2024-0133,Enterprise 24 Ltd,08AAACC0024A1Z4,2024-02-21,16509,1485.81,1485.81,0,19480.62
INV-2024-0134,Enterprise 38 Ltd,04AAACC0038A1Z2,2024-02-15,125298,11276.82,11276.82,0,147851.64
INV-2024-0135,Enterprise 14 Ltd,03AAACC0014A1Z5,2023-11-02,156208,0,0,28117.44,184325.44
INV-2024-0136,Enterprise 7 Ltd,01AAACC0007A1Z1,2024-01-12,189485,17053.65,17053.65,0,223592.3
INV-2024-0137,Nexus Traders,09GGGG5555A1Z7,2023-11-13,41781,3760.29,3760.29,0,49301.58
INV-2024-0138,Apex Logistics,21CCCC1111A1Z2,2024-01-17,62483,5623.47,5623.47,0,73729.94
INV-2024-0139,Prime Steels,33EEEE3333A1Z4,2024-02-23,40638,0,0,7314.84,47952.84
INV-2024-0140,Enterprise 2 Ltd,08AAACC0002A1Z5,2023-11-14,675115,0,0,121520.7,796635.7
INV-2024-0141,Enterprise 19 Ltd,01AAACC0019A1Z1,2024-02-28,646736,0,0,116412.48,763148.48
INV-2024-0142,Enterprise 20 Ltd,05AAACC0020A1Z0,2023-12-19,584434,0,0,105198.12,689632.12
INV-2024-0143,Apex Logistics,21CCCC1111A1Z2,2024-01-12,680878,0,0,122558.04,803436.04
INV-2024-0144,Enterprise 16 Ltd,08AAACC0016A1Z7,2024-02-07,631576,0,0,113683.68,745259.68
INV-2024-0145,TechNova Solutions,27AADCT1234E1Z1,2023-12-28,492765,0,0,88697.7,581462.7
INV-2024-0146,Enterprise 16 Ltd,08AAACC0016A1Z7,2023-11-09,74366,0,0,13385.88,87751.88
INV-2024-0147,Enterprise 41 Ltd,01AAACC0041A1Z2,2024-02-06,350305,31527.45,31527.45,0,413359.9
INV-2024-0148,Nexus Traders,09GGGG5555A1Z7,2024-03-04,216759,0,0,39016.62,255775.62
INV-2024-0149,Enterprise 18 Ltd,09AAACC0018A1Z2,2023-11-19,215519,0,0,38793.42,254312.42
INV-2024-0150,Enterprise 21 Ltd,05AAACC0021A1Z8,2024-01-14,335795,0,0,60443.1,396238.1
INV-2024-0151,Prime Steels,33EEEE3333A1Z4,2024-01-17,58375,5253.75,5253.75,0,68882.5
INV-2024-0152,Enterprise 21 Ltd,05AAACC0021A1Z8,2023-12-25,820093,73808.37,73808.37,0,967709.74
INV-2024-0153,Enterprise 20 Ltd,05AAACC0020A1Z0,2023-12-21,523982,0,0,94316.76,618298.76
INV-2024-0154,Enterprise 3 Ltd,08AAACC0003A1Z5,2023-11-02,107074,0,0,19273.32,126347.32
INV-2024-0155,Apex Logistics,21CCCC1111A1Z2,2023-12-20,762206,0,0,137197.08,899403.08
INV-2024-0156,Enterprise 20 Ltd,05AAACC0020A1Z0,2024-01-23,185755,0,0,33435.9,219190.9
INV-2024-0157,Enterprise 32 Ltd,05AAACC0032A1Z3,2024-02-14,85033,0,0,15305.94,100338.94
INV-2024-0158,Enterprise 35 Ltd,03AAACC0035A1Z6,2024-03-08,454485,0,0,81807.3,536292.3
INV-2024-0159,Enterprise 43 Ltd,05AAACC0043A1Z3,2023-11-05,681041,61293.69,61293.69,0,803628.38
INV-2024-0160,Enterprise 27 Ltd,08AAACC0027A1Z8,2024-02-22,273733,24635.97,24635.97,0,323004.94
INV-2024-0161,Enterprise 36 Ltd,06AAACC0036A1Z4,2024-01-06,100344,9030.96,9030.96,0,118405.92
INV-2024-0162,Enterprise 13 Ltd,01AAACC0013A1Z8,2024-02-24,183829,16544.61,16544.61,0,216918.22
INV-2024-0163,Enterprise 36 Ltd,06AAACC0036A1Z4,2024-03-01,499628,44966.52,44966.52,0,589561.04
INV-2024-0164,Enterprise 43 Ltd,05AAACC0043A1Z3,2024-02-18,409356,0,0,73684.08,483040.08
INV-2024-0165,Global Corp,22BBBB0000A1Z5,2023-12-16,898759,80888.31,80888.31,0,1060535.62
INV-2024-0166,Enterprise 11 Ltd,09AAACC0011A1Z6,2023-12-15,126971,11427.39,11427.39,0,149825.78
INV-2024-0167,Enterprise 26 Ltd,02AAACC0026A1Z3,2024-02-03,438433,0,0,78917.94,517350.94
INV-2024-0168,Prime Steels,33EEEE3333A1Z4,2024-03-05,137699,12392.91,12392.91,0,162484.82
INV-2024-0169,Enterprise 5 Ltd,06AAACC0005A1Z7,2024-01-19,16311,0,0,2935.98,19246.98
INV-2024-0170,Enterprise 33 Ltd,02AAACC0033A1Z5,2024-02-01,365544,32898.96,32898.96,0,431341.92
INV-2024-0171,Enterprise 5 Ltd,06AAACC0005A1Z7,2024-02-23,808768,0,0,145578.24,954346.24
INV-2024-0172,Enterprise 23 Ltd,01AAACC0023A1Z7,2024-02-08,93240,0,0,16783.2,110023.2
INV-2024-0173,Enterprise 34 Ltd,01AAACC0034A1Z6,2024-01-18,586029,52742.61,52742.61,0,691514.22
INV-2024-0174,Enterprise 1 Ltd,03AAACC0001A1Z3,2023-11-03,144641,13017.69,13017.69,0,170676.38
INV-2024-0175,Enterprise 17 Ltd,04AAACC0017A1Z7,2023-11-01,807706,72693.54,72693.54,0,953093.08
INV-2024-0176,Nexus Traders,09GGGG5555A1Z7,2024-03-02,617405,0,0,111132.9,728537.9
INV-2024-0177,Enterprise 21 Ltd,05AAACC0021A1Z8,2023-11-05,295965,26636.85,26636.85,0,349238.7
INV-2024-0178,Enterprise 34 Ltd,01AAACC0034A1Z6,2023-11-02,278892,25100.28,25100.28,0,329092.56
INV-2024-0179,Enterprise 12 Ltd,01AAACC0012A1Z4,2024-03-13,812780,0,0,146300.4,959080.4
INV-2024-0180,Apex Logistics,21CCCC1111A1Z2,2023-11-24,706637,0,0,127194.66,833831.66
INV-2024-0181,Enterprise 8 Ltd,03AAACC0008A1Z8,2024-01-16,162528,0,0,29255.04,191783.04
INV-2024-0182,Enterprise 13 Ltd,01AAACC0013A1Z8,2024-01-03,371893,0,0,66940.74,438833.74
INV-2024-0183,Enterprise 16 Ltd,08AAACC0016A1Z7,2024-01-11,857318,77158.62,77158.62,0,1011635.24
INV-2024-0184,Enterprise 42 Ltd,02AAACC0042A1Z5,2024-03-11,786362,70772.58,70772.58,0,927907.16
INV-2024-0185,Enterprise 7 Ltd,01AAACC0007A1Z1,2023-12-28,300652,27058.68,27058.68,0,354769.36
INV-2024-0186,Enterprise 21 Ltd,05AAACC0021A1Z8,2024-02-05,668959,0,0,120412.62,789371.62
INV-2024-0187,Enterprise 40 Ltd,03AAACC0040A1Z7,2023-12-13,762432,0,0,137237.76,899669.76
INV-2024-0188,Enterprise 7 Ltd,01AAACC0007A1Z1,2024-03-06,522336,47010.24,47010.24,0,616356.48
INV-2024-0189,Enterprise 33 Ltd,02AAACC0033A1Z5,2023-12-24,74025,6662.25,6662.25,0,87349.5
INV-2024-0190,Enterprise 11 Ltd,09AAACC0011A1Z6,2024-03-06,275115,24760.35,24760.35,0,324635.7
INV-2024-0191,Enterprise 30 Ltd,04AAACC0030A1Z2,2024-02-10,95115,0,0,17120.7,112235.7
INV-2024-0192,Enterprise 30 Ltd,04AAACC0030A1Z2,2024-02-21,96066,8645.94,8645.94,0,113357.88
INV-2024-0193,Enterprise 39 Ltd,03AAACC0039A1Z5,2024-01-11,456186,41056.74,41056.74,0,538299.48
INV-2024-0194,Enterprise 40 Ltd,03AAACC0040A1Z7,2024-03-19,582023,52382.07,52382.07,0,686787.14
INV-2024-0195,Enterprise 8 Ltd,03AAACC0008A1Z8,2024-03-12,679460,61151.4,61151.4,0,801762.8
INV-2024-0196,Enterprise 31 Ltd,09AAACC0031A1Z6,2024-01-08,484245,43582.05,43582.05,0,571409.1
INV-2024-0197,Enterprise 16 Ltd,08AAACC0016A1Z7,2024-01-12,897904,0,0,161622.72,1059526.72
INV-2024-0198,TechNova Solutions,27AADCT1234E1Z1,2024-01-25,665320,0,0,119757.6,785077.6
INV-2024-0199,Enterprise 3 Ltd,08AAACC0003A1Z5,2023-12-05,435349,39181.41,39181.41,0,513711.82
